Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-07-14,120.01,103.58708272000001,1.9733442363049019,0.9888310341181227,0.011168965881878028,blue,120.01,120.37,117.45,0.01790313264443373
1980-07-15,119.3,103.61877248,2.010177024489657,0.9929706907178144,0.007029309282186442,blue,119.3,121.56,118.85,-0.006277911384079042
1980-07-16,119.63,103.65068832,2.026168173265174,0.9948228421336355,0.0051771578663653015,blue,119.63,120.87,118.54,0.0024181492343266896
1980-07-17,121.44,103.682864,2.043859764601915,0.994517484653397,0.005482515346603993,blue,121.44,121.81,119.43,0.014672499619915515
1980-07-18,122.04,103.71532672000001,2.0571667763718193,0.9974184986471606,0.0025815013528404968,blue,122.04,123.19,120.88,0.004584378356603116
1980-07-21,122.51,103.7480792,2.069308437553229,0.9986997247449939,0.0013002752550072454,blue,122.51,123.15,120.85,0.003499631613042561
1980-07-22,122.19,103.78108816,2.0918430156755683,0.9992168197693394,0.0007831802306617797,blue,122.19,123.9,121.38,-0.0029596168222594025
1980-07-23,121.93,103.81435968000001,2.10375086489179,0.9993979552568516,0.0006020447431495018,blue,121.93,123.26,120.93,-0.0024742686008403323
1980-07-24,121.79,103.8478912,2.1060633216472007,0.9993927273686652,0.0006072726313358537,blue,121.79,122.98,120.83,-0.0014930273177865458
1980-07-25,120.78,103.88170112,2.1017601555648406,0.9991592447351855,0.0008407552648155463,blue,120.78,121.96,119.94,-0.008671709063879991
1980-07-28,121.43,103.91578816,2.1086721477865984,0.9992543350775088,0.0007456649224922891,blue,121.43,122.02,119.78,0.005023088341422609
1980-07-29,122.4,103.95016288000001,2.1147385403972683,0.9992415849391465,0.0007584150608545877,blue,122.4,122.99,120.76,0.007612237167918272
1980-07-30,122.23,103.98481887999999,2.1475016133774054,0.9994214686891015,0.0005785313108994891,blue,122.23,123.93,121.16,-0.0017340221336605349
1980-07-31,121.67,104.01975648,2.187126532708535,0.9994072428174157,0.0005927571825853565,blue,121.67,122.34,119.4,-0.0049362218343851965
1980-08-01,121.21,104.05496784000002,2.193770206073108,0.9993757443415499,0.0006242556584512437,blue,121.21,122.38,120.06,-0.004132051161548255
1980-08-04,120.98,104.09039264,2.1945816957694526,0.99923881438738,0.000761185612621317,blue,120.98,121.63,119.42,-0.0022435036482163755
1980-08-05,120.74,104.12602128,2.19285261098098,0.9987511843962384,0.0012488156037627606,blue,120.74,122.09,119.93,-0.0023299371550459364
1980-08-06,121.55,104.16188256000001,2.186709980431931,0.9974236680780807,0.002576331921920546,blue,121.55,122.01,119.94,0.006342059549261948
1980-08-07,123.3,104.19797344,2.2028744814103347,0.995019645489445,0.004980354510556327,blue,123.3,123.84,121.33,0.013950541563527999
1980-08-08,123.61,104.23427904,2.2132307573398187,0.9951560192668271,0.004843980733174385,blue,123.61,125.23,122.82,0.002166869884796246
1980-08-11,124.78,104.27082176,2.2255692194728285,0.9931586098253372,0.006841390174664217,blue,124.78,125.31,122.85,0.009076570938355677
1980-08-12,123.79,104.30755679999999,2.151290758499187,0.9905869554461256,0.009413044553875795,blue,123.79,125.1,124.36,-0.008309772983469986
1980-08-13,123.28,104.34446768000001,2.302726220574228,0.9865242694467139,0.01347573055328749,blue,123.28,127.67,122.49,-0.004472558376468524
1980-08-14,125.25,104.38158591999999,2.3345899095455165,0.976227559342811,0.02377244065719042,blue,125.25,125.62,122.68,0.015509381108487316
1980-08-15,125.72,104.41891168,2.472860414068241,0.9746478637069004,0.025352136293100926,blue,125.72,129.61,124.51,0.0034013041198175174
1980-08-18,123.39,104.45640784,2.494217393364829,0.9665863686910765,0.03341363130892475,blue,123.39,125.28,122.82,-0.019051308863514377
1980-08-19,122.6,104.49405632,2.396506523696588,0.9755300988618062,0.02446990113819515,blue,122.6,123.34,122.85,-0.006767215252947128
1980-08-20,123.77,104.53187232,2.3946811975117583,0.9795764972775488,0.02042350272245248,blue,123.77,124.27,121.91,0.009153813205211808
1980-08-21,125.46,104.56987471999999,2.3939471376361703,0.9822341192221077,0.01776588077789368,blue,125.46,125.99,123.61,0.01321781027207866
