Date, Open, High, Low, Close,LN_Return
07/23/85,192.55,194.93,192.3,192.55,-0.009304797
07/22/85,194.35,194.35,193.6,194.35,-0.004005346
07/19/85,195.13,195.13,194.38,195.13,0.003850997
07/18/85,194.38,195.63,194.38,194.38,-0.006512343
07/17/85,195.65,196.03,194.78,195.65,0.004764719
07/16/85,194.72,194.72,192.72,194.72,0.010324271
07/15/85,192.72,193.72,192.59,192.72,-0.002953294
7/12/85,193.29,193.29,192.67,193.29,0.001812392
7/11/85,192.94,192.94,192.31,192.94,0.002958659
7/10/85,192.37,192.37,191,192.37,0.006885427
7/9/85,191.05,191.93,190.93,191.05,-0.004595548
7/8/85,191.93,192.43,191.31,191.93,-0.003069322
7/5/85,192.52,192.65,191.52,192.52,0.005573367
7/3/85,191.45,191.95,191.45,191.45,-0.002920776
7/2/85,192.01,192.51,191.89,192.01,-0.002184997
7/1/85,192.43,192.43,191.18,192.43,0.003018635
06/28/85,191.85,191.85,191.1,191.85,0.003236925
06/27/85,191.23,191.36,190.11,191.23,0.00613708
06/26/85,190.06,190.19,189.56,190.06,0.001685098
06/25/85,189.74,190.87,189.24,189.74,0.003114363
06/24/85,189.15,189.53,187.9,189.15,-0.00242898
06/21/85,189.61,189.61,186.49,189.61,0.015305608
06/20/85,186.73,186.73,185.98,186.73,0.000535676
06/19/85,186.63,187.88,186.63,186.63,-0.003797101
06/18/85,187.34,187.59,186.59,187.34,0.004333064
06/17/85,186.53,187.03,186.03,186.53,-0.003051149
06/14/85,187.1,187.1,185.35,187.1,0.009505213
06/13/85,185.33,187.58,185.08,185.33,-0.01222732
6/12/85,187.61,188.99,187.61,187.61,-0.007593293
6/11/85,189.04,189.54,188.79,189.04,-0.002483161
6/10/85,189.51,189.64,188.89,189.51,-0.000896648
6/7/85,189.68,191.18,189.56,189.68,-0.007249073
6/6/85,191.06,191.06,189.19,191.06,0.004721692
6/5/85,190.16,190.91,190.16,190.16,0.000631247
6/4/85,190.04,190.17,188.92,190.04,0.003795871
6/3/85,189.32,190.32,188.94,189.32,-0.001214137
05/31/85,189.55,189.55,187.55,189.55,0.009541551
05/30/85,187.75,188,187.13,187.75,0.000372906
05/29/85,187.68,187.81,187.18,187.68,-0.00095862
05/28/85,187.86,188.86,187.49,187.86,-0.002286323
05/24/85,188.29,188.29,187.29,188.29,0.003671291
05/23/85,187.6,188.47,187.47,187.6,-0.005104222
05/22/85,188.56,189.56,187.81,188.56,-0.005711279
05/21/85,189.64,189.77,188.89,189.64,-0.000421763
05/20/85,189.72,189.97,187.47,189.72,0.012197213
05/17/85,187.42,187.92,185.55,187.42,0.009435044
05/16/85,185.66,185.66,184.66,185.66,0.006050802
05/15/85,184.54,185.42,183.92,184.54,0.003637256
05/14/85,183.87,185.12,183.75,183.87,-0.004016506
05/13/85,184.61,184.61,184.24,184.61,0.001789152
5/10/85,184.28,184.66,182.03,184.28,0.01288931
5/9/85,181.92,181.92,180.67,181.92,0.007171653
5/8/85,180.62,180.75,180,180.62,-0.000774808
5/7/85,180.76,181.14,179.89,180.76,0.004268891
5/6/85,179.99,180.49,179.87,179.99,-0.000499903
